id,질문,정답,top1 문서
198,알디 오스트레일리아가 케이지 사육 달걀 판매를 중단하기로 한 이유는 무엇인가?,14세 소녀가 2016년 3월에 시작한 온라인 청원으로 10만 건의 서명을 받아내면서 이루어졌다.,"호주 슈퍼마켓 체인점 '알디', 2025년까지 케이지 사육 달걀의 판매 중단 호주 슈퍼마켓 체인점 '알디 오스트레일리아(Aldi Australia)'가 2025년까지 우리 안에 가둬 키운 닭의 달걀을 단계적으로 판매하지 않을 것이라 밝혔음.  이는 14세 한 소녀가 2016년 3월, 우리 안에 가둬 키운 닭의 달걀은 철지난 관행이라며 온라인 청원을 시작한 이후 10만 건에 달하는 서명을 받아내면서 이루어졌음.  그러나 일각에서 불만을 토로한 기한 2025년에 대해, 업체측은 현재 방사란 인프라가 제한적이라고 답변하면서 전환 기간동안 효과적으로 일을 처리해나가고 싶다고 말했음."
199,미국 농무부의 온라인 배달 서비스 시범사업이 성공하면 어떤 혜택이 예상되나요?,수백만 가구가 온라인 식료품 배달로 확대된 혜택을 입을 수 있음.,"미국 농무부, 저소득층 식품보조 제도의 온라인 배달 서비스 시범사업 추진 예정 미국 농무부(USDA)는 저소득층을 위한 식품보조 제도(food stamp)가 사기 우려를 낳을 수 있음에도 불구하고, 제도 수혜자들이 온라인을 통해 식료품을 얻을 수 있게 하여도 좋을지 테스트할 예정임. 워싱턴 포스트지는 피파드(Peapod), 프레시다이렉트(FreshDirect) 및 스라이브 마켓(Thrive Market)과 같은 온라인 배달 서비스가 농무부의 계획을 지원할 것이라 보도했음. 농무부가 이번 시범 사업이 성공적이라고 판단할 경우, 이는 전국적으로 시행될 것임. 농무부 대변인은 폭스뉴스닷컴(FoxNews.com)을 통해 이번 가을 시범 사업 참가지원을 받겠다고 전했음. 이번 테스트는 '2014 농업법'에 따라 수행될 예정임. 시범 사업이 성공을 거둔다면, 수백만 가구가 온라인 식료품 배달로 확대된 혜택을 입을 수 있음. 농무부는 국회에 제출한 보고서에서 1천 150만 저소득 가구가 슈퍼마켓이나 대형 식료품점에서 1마일 넘게 떨어져 있으며, 다수가 차량 접근이 어렵다고 내다봤음. 온라인 식품보조 제도는 건강한 식품을 저렴한 가격으로 제공할 수 있을 것임. 한편, 식품 보조제도 사기가 이미 큰 문제가 되어, 당국은 시범 사업을 서서히 진행할 것으로 보임. 제도 수혜자들이 지원물품을 불법 구매하거나 판매하는 것 또한 또 다른 우려사항임. 회계감사원(GAO)의 보고서에서 일부 수혜자가 크레이그리스트(Craigslist) 같은 웹사이트에서 지원물품을 구매 및 판매하고 있다는 사실이 드러난 바 있음"
200,Monolith UK Ltd가 회수한 Chilled Dried Salted Common Roach의 회수 사유는 무엇인가요?,보툴리늄 독소 우려,"[회수]영국 Monolith UK Ltd, 보툴리늄 독소 우려로 건조 생선 회수 - 일시: 2016.12.8- 제품명: Chilled Dried Salted Common Roach (200g, Date Code: 110010, 최적소비기한: 2016.12.19 및 2016.12.26)- 회수사: Monolith UK Ltd - 회수사유: 보툴리늄 독소 우려- 기타: 해당 제품은 독일의 보툴리늄 식중독 사례들과 관련이 있으며, 예방조치의 일환으로 소비자로부터 회수되었음- 제품사진: https://www.food.gov.uk/sites/default/files/monolith_uk_product_recall_notice.pdf"
201,Daïa 브랜드의 Dattes – Dates Deglet Nour 제품이 회수된 이유는 무엇인가요?,벌레 발견,"[회수]프랑스 B&S La Pause, 디플루벤주론 검출로 대추야자 회수  -일자 : 2022.8.23.-지역 : 프랑스 전역-제품명 : Dattes Deglet Nour d'Algérie (브랜드 : BS La Pause, 바코드 : 3580281223604, 로트번호 : 0118SED2021, 품질유지기한 : 30/06/2023, 판매기간 : 11/02/2022~03/08/2022, 실온제품) -원산지 : 알제리-회수사 : BS La Pause (자진회수)(*)-회수사유 : 유럽연합에서 금지된 농약인 디플루벤주론(Diflubenzuron) 검출됨-제품사진 : 원문참조 (*)참고 : https://www.60millions-mag.com/2022/08/23/dattes-d-algerie-deglet-nour-bs-la-pause-20360"
202,Krispy Kreme Doughnuts의 회수 사유는 무엇인가요?,금속 조각 혼입,"[회수]일본 Krispy Kreme Doughnuts, 곰팡이 발생 가능성으로 도넛 3종 자진회수 -일시: 2024년 7월 18일-제품명:  ①Mini Crullers(ミニクルーラー) 더블 초코(ダブルチョコ) ②Mini Crullers(ミニクルーラー) 슈가(シュガー) ③Mini Crullers(ミニクルーラー) 레몬(レモン)-상미기한: 2024년 7월 21일부터 29일-회수사유: 곰팡이 발생 가능성 > 원인이 규명될 때까지 출하 정지-회수사: 크리스피 크림 도넛 재팬 주식회사(クリスピー・クリーム・ドーナツ・ジャパン株式会社) (홈피명 Krispy Kreme Doughnuts) *회수사 자진회수 알림(7월 18일): https://krispykreme.jp/news/12836/"
203,뉴욕시 학교급식에서 제외된 음식은 무엇인가?,닭고기(치킨 텐더)와 조각피자.,"미국 뉴욕시, 금속 혼입 가능성으로 회수 중인 OK Food, Inc, 관련 급식 품목서 닭고기 및 피자 제외 이달 초 금속 혼입 가능성으로 전국적인 회수가 시작됨에 따라, 뉴욕시 학급의 점심급식 메뉴에 닭고기(치킨 텐더)가 제공되지 않을 예정임. 교육부 당국은 'OK Food, Inc'의 회수에 따라, 학교급식 메뉴에서 육류를 제공하지 않게 되었다고 밝혔음. 앞서, 5명의 어린이가 학교에서 먹은 닭고기에서 금속을 발견하자 제품을 회수하기 시작했다고 밝힘. 학교당국은 또한, 오염 가능성이 있는 조각피자도 급식 메뉴에서 한시적으로 제외했음. 교육부는 수요일, 품질 관리를 우려해, 조각피자와 닭고기 배급을 중단했으며, 모든 문제사항이 해결되면 납품을 재개하겠다고 밝혔음."
204,Pollock Fillet과 Pollock mince 제품의 회수 이유는 무엇인가요?,금속 조각 발견,"[회수]미국 Olson Meat, 위생 검사 미필로 돼지혈 회수 - 회수일시: 2014.10.2. - 제품명: 돼지혈(1 gallon jugs of “OLSON MEAT COMPANY, INC., PORK BLOOD WITH VINEGAR”)- 회수사: Olson Meat- 회수사유: 연방정부 위생검사 미필- 기타: 생산일자는 9월 9일이며 9월 10일에 냉동 선적됨(하와이 소재 소매업체). 제품 관련 피해 사례 보고 없음. 제품 라벨은 원문 참고."
205,Macb사의 딸기 및 키위향 첨가 병생수에서 어떤 문제가 발생했나요?,"Macb사의 딸기 및 키위향 첨가 병생수에서 매니큐어 제거제 냄새가 나고, 음용 후 복통과 설사를 유발했다는 항의가 있었다.","미국, 순수한 꿀과 메이플 시럽의 '첨가당' 표시 문제 두고 논란 조만간 미 식품의약품청(FDA)의 새로운 규정에 따라 순수한 벌꿀(pure honey)과 메이플 시럽(maple syrup)에 ""첨가당(added sugar)"" 함유 표시가 이루어져야 할 것임. 어느 누구도 이들 제품에 당을 첨가하지 않았기 때문에 이는 언어학적으로 그리고 논리적으로 터무니없지만, 화학 또는 보건 관점에서는 진지한 일임. 보스턴 글로브지는 지난주 원통함을 품은 뉴잉글랜드의 메이플 시럽 판매업자들이 항의를 하기 시작했다고 함. 하지만 메이플 시럽 제조업자와 양봉업자들은 글루코오스와 과당뿐 아니라 자당 배합물을 사용하는 과정을 통해 마법같은 수확을 봄. 이들 당류는 많은 건강문제와 관련이 있음. 해당 기사에 달린 댓글 중 많은 사람들이 메이플 시럽이 정제설탕과는 화학적으로 다르다고 주장했음. 혼란이 가중되고 있는 가운데 청은 꿀과 메이플 시럽 제조업체에 불공정하게 적용되지 않는 무언가를 마련해야할 필요가 있음."
206,macb Strawberry Kiwi still flavoured water의 회수 사유는 무엇인가요?,이취 발생,"[회수]스코틀랜드 Cott Beverages Ltd, 이취 발생으로 향 첨가 생수 회수 - 일시: 2017.6.23- 제품명: macb Strawberry  Kiwi still flavoured water (330 ml 또는 1.5 L, 소비기한: 2018년 8월, 배치: 7131, 7132, 7133, 7135, 7139, 7149)- 회수사: Cott Beverages Ltd- 회수사유: 이취 발생- 제품사진: 원문 참조"
207,Trader Joe’s에서 회수한 Matcha Green Tea Ice Cream의 SKU 번호는 무엇인가요?,SKU# 055740,"[회수]미국 Trader Joe’s, 금속 조각 혼입 가능성으로 아이스크림 회수 - 일시: 2017.6.11- 지역: -- 제품명: Matcha Green Tea Ice Cream (SKU# 055740, 로트코드 전체)- 회수사: Trader Joe’s ​- 회수사유: 금속 조각 혼입 가능성- 기타: 현재까지 피해 신고건은 없음."
208,"Fuji Natural Foods, Inc.가 회수한 Bean Sprout 제품의 회수일은 언제인가요?",회수일은 5/2/2017입니다.,"[E/R]미국 Tropic Fish Hawaii, LLC, 이물질 혼입 가능성으로 콩나물 회수 [E/R]미국 Fuji Natural Foods, Inc., 회수-지역: 미국 -제품명: Bean Sprout 10 lbs. 봉지, 10lb 박스, 12/12oz, 20/15oz, 24/1.5 lbs., 5lbs. 봉지, 3lb 트레이-회수사: Fuji Natural Foods, Inc. (회수종료, 회수일 5/2/2017)-회수사유: 이물질 혼입 가능성"
209,Deep Dish pre mix dough의 회수 이유는 무엇인가요?,제품의 특정 배치에서 플라스틱 펜 조각이 발견되어 혼입 가능성이 제기됨.,"[E/R]미국 Blue Line Food Service Distribution, 플라스틱 조각 혼입 가능성으로 반죽 프리믹스 회수 -지역: 미국 미시건 단독 유통-제품명: Deep Dish pre mix dough-회수사: Blue Line Food Service Distribution (회수중, 회수일 10/5/2017)-회수사유: 제품의 특정 배치에서 플라스틱 펜 조각이 발견되어 혼입 가능성이 제기됨."
210,테스코는 크리스마스 칠면조 고기 문제에 대해 어떤 조치를 취했나요?,"테스코는 소비자 항의에 대해 사과를 표명하고 환불을 공지했으며, 관련 조사를 약속했습니다.","영국 테스코(사), 칠면조 고기가 변질되고 상했다는 고객 항의에 사과 표명  영국 최대 소매업체 테스코(사)는 크리스마스 칠면조 고기 상태에 대해 소비자의 항의가 잇따르자 사과를 표명하고 환불을 공지했음. 업체는 소비자들이 ""변질되고 상한"" 칠면조 고기를 구매했으며, 육류가 상한 것을 발견한 후 배달 음식을 주문해야만 했다는 항의글을 소셜미디어에 게시하자 이와 관련한 조사를 약속했음. 사람들은 크리스마스 당일 페이스북과 트위터에 테스코(사)의 칠면조에 관한 항의글을 게시했음. 업체 대변인은 ""우리는 이번 크리스마스에 우수한 품질의 영국 칠면조 수십만 마리를 판매했다. 우리는 대단히 높은 품질 기준을 유지하고 있으며, 최근 제기된 소수의 항의 사례들을 확인할 것이다. 해당 사례들이 어떻게 발생하였는지 조사하기 위해 각 고객과 연락을 취할 것이다""라고 전했음."
211,"Taylor Farms New Jersey, Inc.가 회수 중인 Wawa Fruit Cheese의 회수일은 언제인가요?",회수일은 9/21/2017입니다.,"[E/R]미국 Taylor Farms New Jersey, Inc., 나무조각 혼입 가능성으로 치즈 회수 -지역: 미국 펜실베니아, 뉴저지, 델라웨어, 매릴랜드, 버지니아, 플로리다-제품명: Wawa Fruit  Cheese, 6oz. (170g), -회수사: Taylor Farms New Jersey, Inc. (회수중, 회수일 9/21/2017)-회수사유: 상기 업체는 제조 원료에 나무 조각(긴 형태)이 혼입되었을 수 있다는 사실을 전달받음."
212,미국 의학협회가 가당음료 소비를 줄이기 위해 채택한 정책 중 하나는 무엇인가?,"가당음료세 도입 지지 및 의료시설과 병원, 교내 판매 금지 정책이 채택되었다.","미국 의학협회, 가당음료 소비 저감 정책 채택 미국 의학협회(AMA)는 미국인들의 당류 섭취 줄이기 방안의 일환으로 가당음료(SSB) 소비를 저감화하는 정책을 채택함. 해당 정책은 가당음료(SSB)에  세금을 부과하고, 초등학교 및 중학교에서 가당음료(SSB)를 구매할 수 있는 선택권을 없애며, 가당음료 소비가 미치는 잠재적 건강 영향을 소비자에게 알리는 경고표시 사용 등과 같은 증거 중심의 전략을 지지함.  또한 연구진은 가당음료(SSB)소비를 줄이는 방안으로, 1회 제공량 조절, 보육원, 직장, 공공장소에서 가당음료(SSB)판매 제한, 아이들에게 마케팅 제한 등과 같은 전략을 제시함. 병원 및 의료시설에서 물, 무착향 우유, 커피, 무가당 차와 같이 더 건강한 음료를 판매하는 것을 권장함. 해당 시설은 자동판매기에서 판매하는 음료 가격 옆에 칼로리를 표시해야 함. 의사들은 환자들에게 가당음료(SSB)가 건강에 미치는 영향을 알려주고 가당음료(SSB)를 마시는 대신 더 건강한 음료의 중요성을 알려줄 것을 권장함. 미국 의학협회 (AMA) 위원은 ""지나친 당 소비는 국가의 제일 큰 질병과 관련되어 있으며, 가당음료 소비 제한은 해당 질병을 예방하는 장기적인 방안이며, 건강을 증진시키고, 만성질병 치료에 소요되는 의료비도 줄일 수 있다.""고 전함."
213,영국 공중보건국의 영유아 식단 가이던스는 어떤 연령대를 대상으로 하나요?,6개월 ~ 4세 영유아를 대상으로 합니다.,"영국 공중보건국, 잉글랜드 탁아소 및 돌보미를 위한 영유아 식단 가이드 영국 공중보건국(PHE)는 탁아소 및 돌보미 등 잉글랜드 내 영유아 돌봄 환경을 지원하기 위해 마련된 영유아 식단 가이던스를 발표함. 동 가이던스의 목적은 6개월 ~ 4세 영유아를 위한 정부의 현행 식이권고에 부합한 식음료를 제안하기 위함임. 동 가이던스 문서는 영유아 돌봄 환경에서 아동에게 '건강에 유익한, 균형잡힌, 영양가 높은' 식사를 제공하기 위해 영유아(5세 미만) 복지 요건을 충족할 수 있는 식단 예시 및 유용한 정보를 포함함. *1부 가이던스: https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/658870/Early_years_menus_part_1_guidance.pdf*2부 조리법: https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/658872/Early_years_menus_part_2_recipes.pdf"
214,포화지방이 심장병 위험을 증가시키지 않는다는 주장이 왜 비판을 받았나요?,"해당 기고문은 신뢰할 만한 근거에 기반을 두고 있지 않으며, 소비자를 혼란스럽게 만든다는 이유로 비판을 받았습니다.","영국, 포화지방이 심장병 위험 증가시키지 않는다는 기고문에 대해 비판 일어 심장병 전문의 3인이 '영국 스포츠의학저널'에 포화지방은 심장병 위험을 증가시키지 않는다는 기고문을 게재한 후, 이에 대한 비판이 일고 있음. 기고문 저자들은 심장병 위험을 줄이기 위해 ""저지방"" 또는 ""저콜레스테롤""로 광고되는 식품에 의존하는 것은 잘못된 인식이라고 덧붙였음.  저자들에 따르면 과거의 주요 연구는 건강한 성인에게서 포화지방 섭취와 전 원인 사망(all-cause mortality), 관상 동맥 질환, 관상 동맥성 심장병, 허혈성 뇌졸중, 2형 당뇨 간 연관성이 없음을 나타냈음. 포화지방을 적게 섭취하는 것이 심장병 예방에 도움이 될 수 있다는 가능성도 일축했음.  저자들은 최소한 엑스트라 버진 올리브유 4티스푼과 견과류 한 줌이 들어간 지중해식 식단을 따르고 하루에 22분씩 걷는 것이 최상의 심장 질환 예방법이라고 전했음.  그러나 해당 기고문은 다양한 심장학 전문가들과 근거에 기반을 둔 의학계 전문가들로부터 분노에 찬 비판을 야기했음. 비판가들은 동 기고문에서 일부 견해는 신뢰할 만한 근거에 기반을 두고 있지 않으며, 어떤 식품을 섭취하고 피해야 할지에 관해 소비자를 혼란스럽게 만든다고 전했음. 한 영양학 교수는 영국인의 연령, 사회경제학적 배경, 식품 선호를 고려했을 때 지중해식 식단 섭취 조언이 비현실적이며, 특히 빈곤층은 더욱 실천하기 어렵다고 전했음."
215,영국에서 2017년 식염 저감 목표를 충족할 가능성이 큰 식품군은 무엇인가?,빵 및 롤,"영국 전문가 그룹, 일부 식품군만 식염 저감 목표 충족한다 지적 전문가 그룹 '식염보건컨센서스행동(Cash)'이 수행한 조사에 따르면 2017년 식염 저감 목표 범위에 들어갈 가능성이 큰 식품군은 ""빵 및 롤"" 한 가지에 불과함. 즉, 해당 식품군은 올해 말까지 식염을 100g당 1.13g 이하로 함유해야 한다는 의미임.  Cash가 가공식품 28개군을 검토한 결과에 따르면 식품 업계는 가공식품의 식염 함량을 낮추기 위한 식염 목표 대부분을 달성하지 못할 것임. 정부는 생산업체의 자율규제를 장려하기 위한 목적으로 2011년에 '공중보건책임정책'을 수립했음. 2017년 목표는 2014년에 설정되었으며, Cash는 영국의 상점 및 슈퍼마켓에서 판매되는 일반 식품의 식염 함량을 기록하면서 해당 계획을 독립적으로 점검하기로 합의했음.  식염 목표는 영국 소비자의 일일 식염 섭취량이 6g을 초과하지 않도록 하는 수준에서 계획되었음. Cash 의장이자 퀸메리대학교 심혈관과 교수 그레이엄 맥그리거는 이번 결과가 국가적 수치라고 전했음. 교수는 ""영국은 세계적으로 식염 저감의 선도 국가이지만 공중보건국은 2017년 식염 목표를 달성하기 위한 어떠한 행동도 취하지 않았다""고 전했음.  보건 활동가들은 공중보건국에 2020년까지의 신규 목표를 즉시 설정하고, 식품 업체가 해당 목표를 달성할 수 있도록 압력을 가할 것을 촉구함."
216,호주 과학자들이 개발한 '슈퍼'바나나는 어떤 바나나와 융합하여 탄생했나요?,파퓨아뉴기니산 바나나와 캐번디시 바나나를 융합하여 탄생했습니다.,"호주 과학자들, 비타민A 풍부한 바나나 개발 개발도상국에서의 비타민A 결핍은 어린의 750,000명의 사망 원인이 됨. 또한 비타민A 결핍은 예방가능한 실명의 주요 원인이며 심각한 감염으로 인한 질병의 리스크를 증가시킴.이에 호주의 과학자들은 프로비타민A가 풍부한 '슈퍼'바나나를 개발하였음. 퀸즐랜드 기술대학교의 연구원들은 지난 10년 동안 생물영양강화 바나나를 재배했음. 해당 바나나는 프로비타민A가 풍부한 파퓨아뉴기니산 바나나종에서 유전자를 가져오고, 이를 캐번디시(Cavendish) 바나나와 융합하여 탄생하였음. 파퓨아뉴기니산 바나나는 작은 송이들로 자라며, 캐번디시 바나나는 우리가 슈퍼마켓에서 흔히 볼 수 있는 바나나임. 이렇게 개발된 바나나는 오렌지색이며 소비자들의 비타민 섭취를 증대할 수 있음. 연구원은 개발된 바나나 유전자가 시험관에 담겨 우간다로 전달되었으며, 우간다에서 우간다 바나나와 결합되어 실지 시험이 이루어질 것이라고 전했음."
217,왜 스코틀랜드와 웨일스 보건 장관은 곡물가루의 엽산 강화를 요구했나요?,뱃속 태아의 척수갈림증과 같은 신경관 결손증을 감소시키는 데 도움이 되기 때문입니다.,"영국 웨일스 및 스코틀랜드 보건 장관, 곡물가루의 엽산강화 요구 영국 웨일스 및 스코틀랜드 보건 장관은 곡물가루(flour)의 엽산 강화 의무화를 요구하는 서신을 영국 제레미 헌트(Jeremy Hunt) 보건장관에 전했음. 서신에 따르면, 뱃속 태아의 척수갈림증과 같은 신경관 결손증이 감소하는데 도움이 될 것이라고 함. 스코틀랜드 장관은 두 지역의 가임기 여성 5명 중 4명 정도가 엽산 결핍 상태라는 데이터를 제시했음. 미국과 다른 85개국에서는 이미 엽산 강화정책이 시행되고 있음. 이러한 요구는 스코틀랜드에서 실시된 독립 조사를 통해 스코틀랜드에서만 엽산 강화책을 시행하게 되면 비용 효율적이지 않으며 실용성도 없을 것이라는 점이 확인된 것에서 비롯되었음. 스코틀랜드 정부는 지난 해 엽산 강화제 도입을 고려했었음. 엽산은 짙은 녹색잎 채소에 자연적으로 존재하지만 영국 여성들 중 3/4가 엽산을 충분히 얻지 못하는 것으로 나타났음. 현재 영국 정부는 곡물가루의 엽산 첨가를 권고하고 있음."
218,호주 낙농업계가 비만 퇴치에 어떻게 기여할 계획인가?,"호주 낙농업계는 지방과 당, 소금 함량을 낮춰 제품을 제조하고, 용량을 줄여 출시하며, 건강별점제를 도입하는 방안을 통해 비만 퇴치에 기여할 계획이다.","호주 농산물 재배농가 및 업계, 소비자의 혼란을 방지하기 위해 유기농 농산물 표시 요구 <요점>- 호주 유기농 산업은 매년 약 26억 달러를 기여함- 호주 국내 시장에 유기농 표시 의무 규정 없음- 호주 연방 정부는 국내 규제를 조사하기 위해 산업자문단체(Industry Advisory Group)를 구성하였음 인증된 재배농가 및 업계는 소비자의 신뢰를 높이고 업계의 명성을 확보하기 위해 호주의 유기농 농산물에 대한 의무 규제와 인증을 추진하고 있음.  호주 유기농 산업은 매년 약 26억 달러를 호주 경제에 기여했지만, 국내 시장에서 농산물을 판매하는 생산자와 업체는 자신의 제품을 '유기농'이라는 라벨을 표시하기 위해 인증받을 필요가 없음. 산업기구 Australian Organic 관계자인 니키 포드는 2년 이상 유기농 표시 기준의 엄격한 개혁과 법률 변경을 촉구하였음. 인증 획득은 호주에서 자발적인 절차이며 각 생산자의 선택에 맡기기 때문에, 제품에 공인된 인증 마크가 없다면 소비자들은 '유기농' 표시가 진짜라는 보장을 받을 수 없음. 호주 농무부 장관 데이비드 리틀프라우드는 지난해 말, 호주의 현재 국내 유기농 규제 시스템이 산업 발전을 촉진하는 데 알맞은지 여부를 조사하기 위해 유기농산업자문단체(Organics Industry Advisory Group) 설립을 발표하였음. 남호주의 Angove Family Winemaker 관계자는 제3의 감시가 유기농 표시를 확인하고 소비자에게 구매한 것에 표시된 것이 맞는지 확실하게 해주는 것이 필수라고 함."
219,사우디아라비아에서 에너지음료 가격이 두 배로 오른 이유는 무엇인가?,사우디아라비아가 에너지음료에 100%의 세금을 부과했기 때문이다.,"사우디아라비아, 에너지 음료 가격 두배로 뛰어 지난 11일(현지시간) 사우디아라비아가 에너지음료에 세금을 부과한 뒤, 이번 주 에너지음료의 가격이 두배로 상승하였음. 상점 및 에너지음료캔에 보건 경고문도 부착되었음.  100%의 세금을 부과하는 신규 규정은 담배에도 적용되며, 탄산음료에는 50%의 세금이 부과됨.   이에 따라 250ML짜리 'Code Red'에너지음료는 2리얄에서 4리얄로 가격이 상승하였고, 레드불 음료는 현재 10~12리얄임.  조세국은 소매점들로 하여금 신규 세금 제도를 등록할 것을 촉구하였음.  소매점 및 에너지음료 캔에 표시된 신규 문구는 아랍어와 영어로 표기되었으며, ""동 제품은 아무런 건강상의 이점을 가지고 있지 않습니다. 하루에 두 캔 이상 섭취할 경우 건강에 부정적인 영향을 줄 수 있습니다""라고 알리고 있음.  아랍에미리트는 올해 4분기 이와 비슷한 세금을 도입할 예정임. 걸프협력이사회(GCC) 회원국들은 2018년부터 특정 재화에 5%의 세금을 부과할 예정임."
220,스리랑카가 설탕에 특별세를 도입하려는 이유는 무엇인가?,설탕 섭취를 줄여 국민의 건강상태를 개선하기 위해서이다.,"스리랑카, 설탕 섭취 감소를 위한 특별세 검토  스리랑카가 최근 당류에 특별세를 도입하고자 검토 중임. 보건부 장관은 설탕 섭취를 줄여 국민의 건강상태를 개선하고자 이러한 방안을 모색하고 있다고 설명했음.  앞서 라지타 세네라트네(Rajitha Senaratne)(*스리랑카 정치인)는 한 연설장에서 지난 2015년도에 비전염성 질환 억제를 위해서 당류에 더 높은 세금 부과가 필요하다고 강조한 바 있음. 이 외에도 지방과 식염이 많이 함유된 식품을 대상으로 보다 높은 세금을 부과하면 비전염성 질환을 억제할 수 있을 것이라고 전했음.  그는 정부에 당세 뿐만 아니라 수입관세도 높여 전세계적으로 설탕 가격이 하락 중인 점을 감안해 지역 사탕수수 재배자들을 보호해야 한다고 설명했음.  이에, 지난주 재무부는 수입산 설탕에 대해 ""특별 품목세""를 10루피(미화 0.065달러)로 상향 조정했으나 지역 판매가에는 영향이 없을 것이라고 밝힌 바 있음."
221,미국 심장학회와 심장병학회가 고혈압 기준을 얼마로 조정했나요?,130/80 mmHg으로 조정하였습니다.,"미국 심장학회-심장병학회, 고혈압 지침 기준치 하향 권고...저염식 등 생활습관 개선도 도움될 것 미국 심장학회(AHA)와 심장병학회(ACC)가 14년만에 최고 혈압 기준을 낮춘 지침을 새로 발표함. 심장 전문가들은 동 지침에 따라 앞으로 미국 성인의 거의 절반이 고혈압으로 간주될 것이라고 두 학회에 전했음. 두 학회의 신규 지침은 지금까지 고혈압 권고 기준이었던 140/90 mmHg을 130/80 mmHg으로 조정하였고 정상 혈압은 120/80 mmHg으로 권고함. 이번 고혈압 권고 기준 조정은 고혈압이 혈관에 무리를 주고 탄성을 잃게 만들어 심장질환이나 뇌졸중 위험을 높일 수 있다는 혈압압과 그에 따른 건강 문제에 대한 진화된 연구결과들이 수년 째 발표된 것을 배경으로 함. 의사들은 고혈압 판정을 받게 될 사람들이 많아지더라도 이들 모두가 치료를 위해 의약품을 복용할 필요는 없다고 전했음. 지침에서는 많은 사람들의 경우 저염식으로 식이를 개선하고 운동량을 늘리는 등 라이프 스타일에 변화를 주면 신규 고혈압 권고 수치 범위내에 속할 수 있다고 제안함. (*)http://hyper.ahajournals.org/content/early/2017/11/10/HYP.0000000000000065"
222,스코틀랜드인이 특별가 할인이 있을 때 하루에 얼마나 많은 당을 함유한 정크푸드를 구매하나요?,스코틀랜드인은 특별가 할인이 있을 시 하루에 110톤의 당을 함유한 정크푸드를 구매합니다.,"영국 암연구소, 스코틀랜드인의 높은 당 섭취 수준 경고 영국 암연구소(Cancer Research UK)는 스코틀랜드인이 특별가 할인이 있을 시 하루에 110톤의 당을 함유한 정크푸드를 구매한다고 전했음. 이는 연간 특별가 할인 구매 제품의 총 당 함량을 하루 기준으로 계산한 것임. 영국 암연구소는 해당 수치가 초콜릿바 430만 개와 콜라 300만 개에 해당한다고 전했음. 동 기관은 당 함량이 높은 정크푸드 판촉을 제한하는 새로운 법률을 요구했음. 정크푸드는 스코틀랜드 가정의 식품 지출의 40%를 차지함. 영국 암연구소는 스코틀랜드가 비만 위기에 빠져있으며, 대장, 유방, 췌장을 포함해 13가지 유형의 암이 체중과 관련성이 있다고 경고했음. 동 단체는 탄산음료의 54%, 과자류의 51%가 특별가 할인을 통해 구매되었고, 푸딩 및 디저트의 48%, 비스킷의 46%, 케이크와 패이스트리의 38% 또한 할인된 가격일 때 구매되었다고 경고했음. 영국 암연구소는 지난 3월에도 스코틀랜드인의 1/3이 매일 최소한 1회 이상 과자류를 섭취한다는 수치를 발표한 바 있음. 영국 보건부는 정크푸드에 대한 현행 광고 규제를 ""세계에서 가장 엄격하다""고 설명함. 스코틀랜드 소매컨소시움 회장은 ""소매업계는 소비자에게 건강에 이로운 선택을 장려하기 위해 지속적으로 노력할 것이며, 정부의 균형잡힌 조치에 반대하지 않는다. 그러나 어떠한 조치든 식음료 업계 전반에서의 참여가 필요하다. 이를 통해 소비자는 어디에서 식품을 구매하고 무슨 식품을 섭취하는지에 관계없이 동일한 선택권과 정보를 얻을 수 있을 것이다""라고 전했음."
223,Osung Fisheries의 멸치 제품이 부적합 판정을 받은 이유는 무엇인가요?,"제조 위생불량으로 비위생적인 조건에서 제조, 가공, 포장된 제품으로 801(a)(1)절에 따라 통관을 거부당했습니다.","중국 저우산시 시장감독관리국, 쇠고기꼬치 1로트 부적합 판정 저우산(舟山)시 시장감독관리국이 춘절 성수식품 무작위 샘플검사를 실시한 결과, 1로트가 부적합 판정을 받음.  [부적합 제품]- 샘플명: 순쇠고기 꼬치- 규격: 600g/봉- 생산일자: 20150920- 생산업체: 윈청(郓城)현 쉬룬 식품 유한공사(XuRun:旭润食品有限公司)- 검사결과: 과산화물가 0.49g/100g(기준:≤0.25g/100g), 돼지고기 성분 검출"
